epoch,loss,lr
0,0.113,0.00499
1,0.035,0.00498
2,0.0655,0.00497
3,0.0225,0.00496
4,0.0258,0.00495
5,0.0451,0.00495
6,0.04,0.00494
7,0.0246,0.00493
8,0.0561,0.00492
9,0.0261,0.00491
10,0.0492,0.0049
11,0.127,0.00489
12,0.0248,0.00488
13,0.0257,0.00487
14,0.0277,0.00486
15,0.0415,0.00486
16,0.0292,0.00485
17,0.0285,0.00484
18,0.0692,0.00483
19,0.0438,0.00482
20,0.464,0.00481
21,0.0243,0.0048
22,0.0241,0.00479
23,0.0275,0.00478
24,0.0272,0.00477
25,0.0589,0.00477
26,0.148,0.00476
27,0.0533,0.00475
28,0.0116,0.00474
29,0.0439,0.00473
30,0.0241,0.00472
31,0.0242,0.00471
32,0.0627,0.0047
33,0.0844,0.00469
34,0.027,0.00468
35,0.0271,0.00467
36,0.0193,0.00467
37,0.00712,0.00466
38,0.0955,0.00465
39,0.0345,0.00464
40,0.0469,0.00463
41,0.0261,0.00462
42,0.00762,0.00461
43,0.00937,0.0046
44,0.0195,0.00459
45,0.0138,0.00458
46,0.0217,0.00457
47,0.0584,0.00457
48,0.0191,0.00456
49,0.0469,0.00455
50,0.0203,0.00454
51,0.014,0.00453
52,0.0154,0.00452
53,0.029,0.00451
54,0.00958,0.0045
55,0.0826,0.00449
56,0.0246,0.00448
57,0.0534,0.00447
58,0.0239,0.00447
59,0.0251,0.00446
60,0.044,0.00445
61,0.0339,0.00444
62,0.0261,0.00443
63,0.0104,0.00442
64,0.0188,0.00441
65,0.011,0.0044
66,0.026,0.00439
67,0.00624,0.00438
68,0.0552,0.00437
69,0.0508,0.00437
70,0.0147,0.00436
71,0.00967,0.00435
72,0.00463,0.00434
73,0.0149,0.00433
74,0.0431,0.00432
75,0.0105,0.00431
76,0.106,0.0043
77,0.0222,0.00429
78,0.0145,0.00428
79,0.0393,0.00427
80,0.00537,0.00426
81,0.0378,0.00426
82,0.0328,0.00425
83,0.034,0.00424
84,0.0237,0.00423
85,0.0149,0.00422
86,0.0329,0.00421
87,0.015,0.0042
88,0.0379,0.00419
89,0.125,0.00418
90,0.0617,0.00417
91,0.0152,0.00416
92,0.0489,0.00415
93,0.0122,0.00415
94,0.0192,0.00414
95,0.0508,0.00413
96,0.00345,0.00412
97,0.0116,0.00411
98,0.0166,0.0041
99,0.0477,0.00409
100,0.0171,0.00408
101,0.0505,0.00407
102,0.00623,0.00406
103,0.0164,0.00405
104,0.0104,0.00404
105,0.00849,0.00404
106,0.025,0.00403
107,0.0197,0.00402
108,0.00515,0.00401
109,0.0124,0.004
110,0.159,0.00399
111,0.00885,0.00398
112,0.00961,0.00397
113,0.035,0.00396
114,0.109,0.00395
115,0.0224,0.00394
116,0.0387,0.00393
117,0.0255,0.00392
118,0.0562,0.00391
119,0.017,0.00391
120,0.0326,0.0039
121,0.0122,0.00389
122,0.0446,0.00388
123,0.0318,0.00387
124,0.0605,0.00386
125,0.00701,0.00385
126,0.00695,0.00384
127,0.0787,0.00383
128,0.0211,0.00382
129,0.117,0.00381
130,0.0871,0.0038
131,0.0166,0.00379
132,0.0134,0.00379
133,0.015,0.00378
134,0.0213,0.00377
135,0.0283,0.00376
136,0.136,0.00375
137,0.0177,0.00374
138,0.0819,0.00373
139,0.0594,0.00372
140,0.0144,0.00371
141,0.00938,0.0037
142,0.0107,0.00369
143,0.072,0.00368
144,0.00965,0.00367
145,0.0221,0.00366
146,0.111,0.00366
147,0.0219,0.00365
148,0.00798,0.00364
149,0.0243,0.00363
150,0.028,0.00362
151,0.0303,0.00361
152,0.0158,0.0036
153,0.0183,0.00359
154,0.0416,0.00358
155,0.0457,0.00357
156,0.02,0.00356
157,0.0295,0.00355
158,0.0146,0.00354
159,0.0242,0.00353
160,0.0514,0.00352
161,0.0187,0.00351
162,0.0148,0.00351
163,0.0105,0.0035
164,0.0115,0.00349
165,0.0103,0.00348
166,0.00777,0.00347
167,0.0112,0.00346
168,0.0565,0.00345
169,0.0175,0.00344
170,0.0133,0.00343
171,0.0136,0.00342
172,0.0138,0.00341
173,0.00616,0.0034
174,0.0193,0.00339
175,0.044,0.00338
176,0.0206,0.00337
177,0.0107,0.00336
178,0.0186,0.00336
179,0.0814,0.00335
180,0.0326,0.00334
181,0.00472,0.00333
182,0.0296,0.00332
183,0.00574,0.00331
184,0.0112,0.0033
185,0.0223,0.00329
186,0.0103,0.00328
187,0.00531,0.00327
188,0.0197,0.00326
189,0.0139,0.00325
190,0.00932,0.00324
191,0.0198,0.00323
192,0.00685,0.00322
193,0.0123,0.00321
194,0.00382,0.0032
195,0.0447,0.0032
196,0.00263,0.00319
197,0.021,0.00318
198,0.00775,0.00317
199,0.0103,0.00316
200,0.0276,0.00315
201,0.00708,0.00314
202,0.0126,0.00313
203,0.017,0.00312
204,0.00806,0.00311
205,0.0227,0.0031
206,0.0104,0.00309
207,0.0147,0.00308
208,0.0205,0.00307
209,0.0156,0.00306
210,0.015,0.00305
211,0.019,0.00304
212,0.00661,0.00303
213,0.0101,0.00302
214,0.0345,0.00301
215,0.0128,0.00301
216,0.00159,0.003
217,0.0747,0.00299
218,0.0123,0.00298
219,0.00718,0.00297
220,0.0366,0.00296
221,0.00789,0.00295
222,0.00944,0.00294
223,0.0439,0.00293
224,0.00792,0.00292
225,0.0104,0.00291
226,0.0428,0.0029
227,0.0249,0.00289
228,0.0225,0.00288
229,0.0242,0.00287
230,0.0447,0.00286
231,0.0162,0.00285
232,0.0132,0.00284
233,0.0307,0.00283
234,0.012,0.00282
235,0.0156,0.00281
236,0.0224,0.0028
237,0.0287,0.00279
238,0.00303,0.00279
239,0.07,0.00278
240,0.0183,0.00277
241,0.0178,0.00276
242,0.0101,0.00275
243,0.0122,0.00274
244,0.0158,0.00273
245,0.012,0.00272
246,0.0138,0.00271
247,0.0713,0.0027
248,0.0208,0.00269
249,0.00804,0.00268
250,0.0197,0.00267
251,0.0212,0.00266
252,0.00755,0.00265
253,0.08,0.00264
254,0.0127,0.00263
255,0.0104,0.00262
256,0.0103,0.00261
257,0.00476,0.0026
258,0.00869,0.00259
259,0.00342,0.00258
260,0.0264,0.00257
261,0.00928,0.00256
262,0.0154,0.00255
263,0.0244,0.00254
264,0.0148,0.00253
265,0.0524,0.00252
266,0.00809,0.00251
267,0.00707,0.00251
268,0.013,0.0025
269,0.00301,0.00249
270,0.0303,0.00248
271,0.0145,0.00247
272,0.0286,0.00246
273,0.0738,0.00245
274,0.0127,0.00244
275,0.0122,0.00243
276,0.0376,0.00242
277,0.0202,0.00241
278,0.0236,0.0024
279,0.0282,0.00239
280,0.00854,0.00238
281,0.0269,0.00237
282,0.0143,0.00236
283,0.0246,0.00235
284,0.014,0.00234
285,0.0251,0.00233
286,0.00414,0.00232
287,0.00488,0.00231
288,0.0331,0.0023
289,0.0175,0.00229
290,0.0135,0.00228
291,0.0101,0.00227
292,0.0246,0.00226
293,0.0216,0.00225
294,0.0115,0.00224
295,0.0214,0.00223
296,0.0132,0.00222
297,0.0207,0.00221
298,0.132,0.0022
299,0.00609,0.00219
300,0.00198,0.00218
301,0.00738,0.00217
302,0.00493,0.00216
303,0.0155,0.00215
304,0.00703,0.00214
305,0.0287,0.00213
306,0.00376,0.00212
307,0.0108,0.00211
308,0.0154,0.0021
309,0.0287,0.00209
310,0.00596,0.00208
311,0.0079,0.00207
312,0.0373,0.00206
313,0.00492,0.00205
314,0.00895,0.00204
315,0.0154,0.00203
316,0.00703,0.00202
317,0.0309,0.00201
318,0.0233,0.002
319,0.00959,0.00199
320,0.0469,0.00198
321,0.0443,0.00197
322,0.0147,0.00196
323,0.0255,0.00195
324,0.00777,0.00194
325,0.0136,0.00193
326,0.0129,0.00192
327,0.014,0.00191
328,0.0103,0.0019
329,0.0717,0.00189
330,0.0212,0.00188
331,0.0255,0.00187
332,0.0177,0.00186
333,0.0141,0.00185
334,0.00589,0.00184
335,0.0198,0.00183
336,0.00904,0.00182
337,0.0053,0.00181
338,0.0399,0.0018
339,0.013,0.00179
340,0.0216,0.00178
341,0.0265,0.00177
342,0.0074,0.00176
343,0.0111,0.00175
344,0.00407,0.00174
345,0.0685,0.00173
346,0.00286,0.00172
347,0.00435,0.00171
348,0.00998,0.0017
349,0.02,0.00169
350,0.0242,0.00168
351,0.00614,0.00167
352,0.0778,0.00166
353,0.0173,0.00165
354,0.0139,0.00164
355,0.0162,0.00163
356,0.0148,0.00162
357,0.00603,0.00161
358,0.0275,0.0016
359,0.04,0.00159
360,0.0114,0.00158
361,0.0042,0.00157
362,0.00865,0.00156
363,0.0139,0.00155
364,0.00556,0.00154
365,0.026,0.00153
366,0.00658,0.00152
367,0.0154,0.00151
368,0.00802,0.0015
369,0.017,0.00149
370,0.0245,0.00148
371,0.00879,0.00147
372,0.00451,0.00146
373,0.00915,0.00145
374,0.0327,0.00144
375,0.0147,0.00143
376,0.013,0.00142
377,0.0542,0.0014
378,0.0303,0.00139
379,0.00741,0.00138
380,0.0147,0.00137
381,0.0461,0.00136
382,0.0152,0.00135
383,0.0207,0.00134
384,0.0263,0.00133
385,0.0229,0.00132
386,0.0139,0.00131
387,0.00844,0.0013
388,0.061,0.00129
389,0.0161,0.00128
390,0.0166,0.00127
391,0.0158,0.00126
392,0.0306,0.00125
393,0.0537,0.00124
394,0.00808,0.00123
395,0.018,0.00122
396,0.0107,0.00121
397,0.00934,0.0012
398,0.0194,0.00119
399,0.0207,0.00117
400,0.0459,0.00116
401,0.0132,0.00115
402,0.0056,0.00114
403,0.0477,0.00113
404,0.071,0.00112
405,0.00338,0.00111
406,0.0515,0.0011
407,0.0188,0.00109
408,0.0221,0.00108
409,0.0191,0.00107
410,0.0111,0.00106
411,0.00742,0.00105
412,0.0172,0.00104
413,0.00614,0.00103
414,0.0463,0.00101
415,0.0238,0.001
416,0.00891,0.000993
417,0.0171,0.000982
418,0.00357,0.000972
419,0.0158,0.000961
420,0.0186,0.00095
421,0.0083,0.000939
422,0.03,0.000928
423,0.015,0.000918
424,0.00288,0.000907
425,0.011,0.000896
426,0.0108,0.000885
427,0.00697,0.000874
428,0.049,0.000863
429,0.109,0.000852
430,0.0165,0.000841
431,0.0662,0.00083
432,0.0121,0.000819
433,0.0384,0.000808
434,0.0342,0.000797
435,0.0238,0.000786
436,0.016,0.000775
437,0.0114,0.000764
438,0.0121,0.000753
439,0.00555,0.000742
440,0.0073,0.000731
441,0.0264,0.000719
442,0.0137,0.000708
443,0.0422,0.000697
444,0.0391,0.000686
445,0.0129,0.000675
446,0.0401,0.000663
447,0.00493,0.000652
448,0.0228,0.000641
449,0.00202,0.000629
450,0.03,0.000618
451,0.0191,0.000607
452,0.0048,0.000595
453,0.00787,0.000584
454,0.0177,0.000573
455,0.0671,0.000561
456,0.00749,0.00055
457,0.0204,0.000538
458,0.0121,0.000527
459,0.0123,0.000515
460,0.0262,0.000503
461,0.0228,0.000492
462,0.018,0.00048
463,0.00699,0.000468
464,0.00683,0.000457
465,0.0132,0.000445
466,0.00739,0.000433
467,0.0143,0.000421
468,0.0752,0.000409
469,0.0425,0.000397
470,0.0242,0.000386
471,0.0231,0.000374
472,0.00816,0.000362
473,0.00798,0.000349
474,0.00677,0.000337
475,0.0121,0.000325
476,0.00525,0.000313
477,0.0171,0.000301
478,0.07,0.000288
479,0.0133,0.000276
480,0.0179,0.000263
481,0.0208,0.000251
482,0.0238,0.000238
483,0.013,0.000226
484,0.00395,0.000213
485,0.0256,0.0002
486,0.0155,0.000187
487,0.00973,0.000174
488,0.0114,0.000161
489,0.0208,0.000148
490,0.0367,0.000134
491,0.00736,0.000121
492,0.025,0.000107
493,0.0413,9.34e-05
494,0.0132,7.92e-05
495,0.017,6.48e-05
496,0.0207,5e-05
497,0.0173,3.47e-05
498,0.0118,1.86e-05
499,0.0155,0.0
